Final_nature,MEDIAN of DER Time Dispatch to Notification,MEDIAN of DER Time Notification to Roll,MEDIAN of DER Time Roll to Arrival,MEDIAN of DER Time Dispatch to Arrival
962A,1.0,0.6,4.1,5.8
962BC,0.8,0.5,3.6,4.8
962FD,1.3,0.3,2.9,4.5
962LR,3.2,0.3,3.6,5.1
962MC,0.8,0.5,3.8,5.2
962P,0.9,0.5,3.4,4.9
962PD,0.8,0.6,3.3,4.9
962T,0.5,1.0,3.7,5.2
962X,1.0,0.5,4.0,6.1
ABDA,1.2,0.6,3.9,6.0
AED,0.3,1.0,3.2,4.5
ALLRG,1.0,0.6,3.6,5.5
ALOC,1.0,0.6,3.7,5.5
BOATA,4.7,0.4,4.9,9.8
CB,1.1,0.5,4.2,5.9
CHOKE,1.0,0.5,3.6,5.6
CHOKEC,1.2,0.5,3.0,4.9
CHOKEP,1.9,0.2,3.3,4.9
CODE,1.0,0.5,3.5,5.2
CODEC,0.8,0.1,2.7,3.6
CODEP,0.7,0.3,3.9,4.9
CODEX,0.8,0.5,3.6,5.1
CP,0.9,0.6,3.9,5.6
CVA,1.0,0.5,3.6,5.3
DB,0.9,0.6,3.9,5.7
DIAB,1.0,0.6,4.0,5.6
DR,0.5,0.6,3.2,4.6
ELEC,1.4,0.4,3.5,5.1
FALLA,1.1,0.6,4.1,5.9
GSW,0.9,0.6,3.5,5.1
GSW2,1.1,0.2,4.0,5.3
GSWPD,1.6,1.2,4.3,7.1
GSWS,0.7,0.7,3.3,4.7
HA,1.0,0.6,4.0,5.8
HANG,1.2,0.4,3.0,4.7
ILLA,1.1,0.6,4.1,6.0
INJA,1.2,0.6,4.3,6.3
INJPD,0.8,0.6,2.3,3.4
INTB,1.1,0.6,4.3,6.1
JUMPA,1.4,0.2,3.7,5.3
MAT,1.1,0.5,3.9,6.0
MED1A,1.6,0.6,3.9,6.1
MED2-1,1.3,0.6,3.9,6.2
MED21X,0.9,0.9,5.3,7.0
OD,1.0,0.6,3.4,5.1
OD2,1.0,0.1,2.6,3.9
OD3,1.2,0.4,2.6,4.2
OD3S,2.4,0.3,4.0,6.6
ODS,1.0,0.7,3.7,5.5
POISN,1.4,0.5,3.6,6.1
SEIZA,1.0,0.6,3.8,5.6
STAB,1.0,0.7,3.1,4.6
STABS,0.8,0.6,3.2,4.6
TASER,0.5,0.5,3.8,5.1
UNC,1.0,0.6,3.5,5.2
Grand Total,1.0,0.6,3.8,5.6
