Unit,MEDIAN of DER Time Dispatch to Notification,MEDIAN of DER Time Notification to Roll,MEDIAN of DER Time Roll to Arrival,MEDIAN of DER Time Dispatch to Arrival
BC271,1.3,0.6,3.3,5.1
BC272,0.7,0.5,2.9,4.4
E271,1.0,0.5,3.7,5.6
E272,1.0,0.6,4.3,6.0
E273,1.0,0.5,4.0,5.8
E274,1.0,0.6,4.1,5.9
E275,1.0,0.5,4.0,5.7
E276,1.0,0.6,3.2,5.1
E277,0.9,0.5,3.8,5.3
E278,1.0,0.6,3.6,5.4
L273,1.0,0.6,4.7,6.4
L276,1.0,0.7,3.5,5.4
LA272,1.0,0.6,3.9,5.6
LT273,1.0,0.6,3.8,5.6
LT276,1.0,0.7,3.4,5.3
M271,1.1,0.4,3.4,5.1
M272,1.0,0.6,3.8,5.7
M273,1.0,0.4,3.6,5.5
M274,0.9,0.4,4.0,5.6
M275,1.0,0.6,3.2,5.1
M276,0.9,0.6,3.0,4.6
MR271,0.8,0.5,3.9,5.2
MR274,0.7,0.6,4.1,4.9
MR275,1.5,0.1,1.1,2.7
MR277,0.8,0.2,2.8,3.7
MR278,1.1,0.4,3.4,5.2
SQ278,1.1,0.6,3.6,5.7
Grand Total,1.0,0.6,3.8,5.6
