COUNTA of Final_nature,DER Path,,,,,,,,
Final_nature,FastFastFast,FastFastSlow,FastSlowFast,FastSlowSlow,SlowFastFast,SlowFastSlow,SlowSlowFast,SlowSlowSlow,Grand Total
962A,9.97%,12.69%,14.50%,13.60%,11.18%,15.41%,7.55%,15.11%,100.00%
962BC,22.47%,17.98%,19.10%,13.48%,13.48%,7.87%,3.37%,2.25%,100.00%
962FD,,,,,100.00%,,,,100.00%
962LR,,,33.33%,,33.33%,33.33%,,,100.00%
962MC,19.20%,20.80%,16.00%,8.00%,8.80%,14.40%,6.40%,6.40%,100.00%
962P,23.19%,9.42%,18.12%,7.25%,13.77%,10.14%,10.87%,7.25%,100.00%
962PD,37.50%,,25.00%,12.50%,,12.50%,12.50%,,100.00%
962T,,,100.00%,,,,,,100.00%
962X,12.90%,12.90%,6.45%,14.52%,9.68%,17.74%,16.13%,9.68%,100.00%
ABDA,5.29%,8.17%,8.65%,9.62%,17.31%,20.19%,12.02%,18.75%,100.00%
AED,,,100.00%,,,,,,100.00%
ALLRG,9.30%,11.63%,13.95%,9.30%,17.05%,8.53%,15.50%,14.73%,100.00%
ALOC,12.03%,10.22%,15.18%,10.10%,12.88%,13.48%,14.15%,11.97%,100.00%
BOATA,,33.33%,,,,66.67%,,,100.00%
CB,4.55%,13.64%,9.09%,13.64%,22.73%,18.18%,9.09%,9.09%,100.00%
CHOKE,16.22%,16.22%,2.70%,10.81%,16.22%,10.81%,16.22%,10.81%,100.00%
CHOKEC,25.00%,25.00%,,,25.00%,,25.00%,,100.00%
CHOKEP,,,,,66.67%,33.33%,,,100.00%
CODE,14.67%,14.00%,14.00%,8.00%,20.00%,8.67%,11.33%,9.33%,100.00%
CODEC,100.00%,,,,,,,,100.00%
CODEP,,66.67%,,,33.33%,,,,100.00%
CODEX,23.64%,18.18%,12.73%,12.73%,12.73%,7.27%,9.09%,3.64%,100.00%
CP,14.00%,17.29%,14.00%,16.24%,9.76%,9.53%,8.35%,10.82%,100.00%
CVA,13.17%,15.12%,13.17%,7.32%,19.51%,10.73%,13.17%,7.80%,100.00%
DB,13.26%,14.46%,14.62%,15.10%,9.74%,11.58%,8.39%,12.86%,100.00%
DIAB,10.92%,16.20%,10.92%,12.32%,11.62%,10.92%,11.97%,15.14%,100.00%
DR,22.22%,11.11%,44.44%,,11.11%,,,11.11%,100.00%
ELEC,25.00%,,,,25.00%,25.00%,,25.00%,100.00%
FALLA,10.89%,10.31%,8.56%,12.06%,10.70%,18.29%,11.67%,17.51%,100.00%
GSW,13.73%,9.80%,15.69%,13.73%,15.69%,7.84%,13.73%,9.80%,100.00%
GSW2,50.00%,,,,,50.00%,,,100.00%
GSWPD,,,,,,,,100.00%,100.00%
GSWS,13.33%,6.67%,20.00%,20.00%,13.33%,,26.67%,,100.00%
HA,9.31%,15.34%,14.14%,13.79%,10.00%,12.93%,10.69%,13.79%,100.00%
HANG,,,,,50.00%,25.00%,25.00%,,100.00%
ILLA,7.41%,10.63%,8.70%,9.77%,14.50%,19.55%,11.17%,18.26%,100.00%
INJA,3.75%,12.50%,6.88%,12.50%,11.25%,23.75%,14.38%,15.00%,100.00%
INJPD,25.00%,,25.00%,12.50%,12.50%,12.50%,,12.50%,100.00%
INTB,5.37%,8.78%,8.29%,17.07%,13.17%,13.66%,9.76%,23.90%,100.00%
JUMPA,,,,,50.00%,50.00%,,,100.00%
MAT,8.14%,13.95%,9.30%,12.79%,19.77%,11.63%,11.63%,12.79%,100.00%
MED1A,,,50.00%,,,50.00%,,,100.00%
MED2-1,8.33%,,8.33%,,8.33%,33.33%,25.00%,16.67%,100.00%
MED21X,,,,100.00%,,,,,100.00%
OD,15.09%,9.72%,18.00%,9.58%,15.09%,10.60%,12.48%,9.43%,100.00%
OD2,25.00%,,,25.00%,50.00%,,,,100.00%
OD3,50.00%,,,,50.00%,,,,100.00%
OD3S,,,,,,100.00%,,,100.00%
ODS,5.71%,2.86%,20.00%,17.14%,14.29%,14.29%,17.14%,8.57%,100.00%
POISN,,16.67%,8.33%,,41.67%,16.67%,8.33%,8.33%,100.00%
SEIZA,13.30%,14.48%,12.29%,11.62%,12.63%,10.77%,11.78%,13.13%,100.00%
STAB,13.64%,4.55%,18.18%,13.64%,9.09%,4.55%,18.18%,18.18%,100.00%
STABS,33.33%,,11.11%,22.22%,22.22%,,11.11%,,100.00%
TASER,9.09%,27.27%,31.82%,4.55%,9.09%,13.64%,,4.55%,100.00%
UNC,11.90%,10.56%,16.44%,9.89%,14.44%,11.10%,15.37%,10.29%,100.00%
Grand Total,11.91%,12.52%,13.52%,11.81%,12.77%,13.14%,11.47%,12.86%,100.00%
